Sample Name,Site_ID,Collection_Date,D_2H,D_2H_StDev,D_18O,D_18O_StDev
1,BC,10/5/2022,-126.803089,9.05E-01,-16.459499,1.66E-01
2,MC,10/5/2022,-121.245698,5.03E-01,-16.055768,9.23E-02
3,BC,10/27/2022,-124.454618,5.53E-01,-16.515137,1.37E-01
4,MC,10/27/2022,-120.942857,8.34E-01,-15.892233,2.42E-01
5,RC_01,10/27/2022,-92.796701,1.39E+00,-12.540525,2.32E-01
6,RC_02,10/27/2022,-95.549245,9.28E-01,-13.497653,1.64E-01
7,RC_03,10/27/2022,-104.588535,1.74E+00,-14.756808,2.55E-01
8,RC_04,10/27/2022,-104.535681,1.08E+00,-14.562412,1.73E-01
9,RC_05,10/27/2022,-119.535791,3.96E-01,-15.940431,1.41E-01
10,RC_06,10/27/2022,-109.875211,6.94E-01,-15.032795,5.37E-02
11,RC_07,10/27/2022,-113.833688,5.91E-01,-15.183925,1.06E-01
12,RC_08,11/11/2022,-116.024836,7.35E-01,-15.833164,1.93E-01
13,RC_09,11/11/2022,-121.014641,5.06E-01,-16.159773,1.95E-01
14,RC_10,11/11/2022,-113.745371,1.47E+00,-15.190483,3.86E-01
15,BC,11/13/2022,-123.789123,5.18E-01,-16.103312,2.18E-01
16,MC,11/13/2022,-120.797092,1.26E-01,-16.397703,2.13E-01
17,RC_01,11/13/2022,-107.640622,7.68E-01,-14.604905,2.56E-01
18,RC_02,11/13/2022,-108.068608,1.35E+00,-14.960014,2.21E-01
19,BC,12/3/2022,-124.522006,3.75E-01,-16.571549,1.41E-01
20,IB_01,12/3/2022,-103.494536,8.97E-01,-15.209011,3.22E-01
21,IB_02,12/3/2022,-123.907949,6.72E-01,-16.886222,1.36E-01
22,MC,12/3/2022,-123.0263,1.22E+00,-16.298695,2.64E-01
23,RC_03,12/3/2022,-106.09513,1.16E+00,-14.632009,1.09E-01
24,RC_04,12/6/2022,-105.952604,8.82E-01,-14.494473,1.44E-01
25,RC_06,12/7/2022,-117.783937,7.27E-01,-16.02141,1.14E-01
26,IB_08,12/9/2022,-112.18449,1.67E+00,-16.055533,1.13E-01
27,IB_09,12/9/2022,-120.137304,1.71E+00,-16.947098,1.05E-01
28,IB_10,12/9/2022,-122.576958,5.75E-01,-17.314814,9.78E-02
29,IB_07,12/14/2022,-163.695563,4.41E-01,-22.037132,1.18E-01
30,IB_08,12/14/2022,-167.233944,9.69E-01,-22.600867,1.30E-01
31,IB_09,12/14/2022,-161.213651,8.38E-01,-21.647488,1.77E-01
32,IB_10,12/14/2022,-158.409444,1.25E+00,-21.445778,2.67E-01
33,BC,12/18/2022,-127.175595,9.83E-01,-16.801728,1.27E-01
34,IB_03,12/18/2022,-158.374475,1.59E+00,-21.277594,3.56E-01
35,IB_04,12/18/2022,-160.690624,7.26E-01,-21.555997,1.87E-01
36,IB_05,12/18/2022,-181.815683,1.35E+00,-24.340894,2.50E-01
37,IB_06,12/18/2022,-174.772535,7.65E-01,-23.380663,1.93E-01
38,IB_07,12/18/2022,-186.964495,1.53E+00,-24.911989,1.79E-01
39,IB_01,12/19/2022,-150.521319,6.37E-01,-20.302012,8.15E-02
40,IB_02,12/19/2022,-150.473757,1.69E+00,-20.152421,3.21E-01
41,MC,12/19/2022,-123.732558,1.20E+00,-16.454142,1.09E-01
42,IB_01,1/2/2023,-133.271872,3.72E-01,-17.30567,2.52E-01
43,IB_02,1/2/2023,-141.536777,6.54E-01,-18.176109,1.66E-01
44,IB_03,1/2/2023,-138.447769,1.02E+00,-17.899088,2.45E-01
