Date,SWE_in ,PREC_Accum_in,T_degC ,TMAX_degC) ,TMIN_degC ,TAVG_degC ,SNWDepth_in 
10/1/2022,0,0,7,12.2,3.8,7.3,0
10/2/2022,0,0,5.9,14.5,3.4,9.2,0
10/3/2022,0,0,7.8,15.3,4.2,8.9,0
10/4/2022,0,0,7.5,18.3,5.1,10.8,0
10/5/2022,0,0,8.3,19.4,6.2,11.8,0
10/6/2022,0,0,8.8,20.8,7.2,12.6,0
10/7/2022,0,0,10.1,21.2,8.4,13.3,0
10/8/2022,0,0,8.9,21,8.1,13.3,0
10/9/2022,0,0,8.5,20.1,7.1,12.3,0
10/10/2022,0,0,7.2,19.7,6.3,11.3,0
10/11/2022,0,0,8,18.5,5.4,10.6,0
10/12/2022,0,0,7.5,15.9,5.9,10.7,0
10/13/2022,0,0,9.7,18.4,5.1,11.3,0
10/14/2022,0,0,8,20.3,6.1,12,0
10/15/2022,0,0,9.2,20.7,6.2,12.1,0
10/16/2022,0,0,7.9,18.9,6.4,11.5,0
10/17/2022,0,0,7.8,19.6,5,10.6,0
10/18/2022,0,0,9,20.9,6.2,11.7,0
10/19/2022,0,0,9.6,21,7.1,12.2,0
10/20/2022,0,0,7.5,20.6,7.5,12,0
10/21/2022,0,0,6.7,18.7,5.5,10.9,0
10/22/2022,0,0.5,4.9,13.9,4.9,8.6,0
10/23/2022,0,1.8,-2,5.1,-3.2,0.9,0
10/24/2022,0,1.8,-3.6,2.4,-5.4,-1.8,0
10/25/2022,0.5,2.4,-1.1,2.5,-5.9,-1.6,2
10/26/2022,0.5,2.4,-1,3.9,-2.8,-0.1,2
10/27/2022,0.8,2.7,-5.7,0.4,-5.8,-1.7,4
10/28/2022,0.8,2.7,-3.1,3.8,-7.2,-2.9,4
10/29/2022,0.8,2.9,-0.3,7.7,-4.4,1,3
10/30/2022,0.9,2.9,0.4,9.9,-0.7,2.9,4
10/31/2022,0.9,2.9,3.9,9.9,-0.8,3.5,3
11/1/2022,0.9,2.9,5.4,12.2,2.2,6.1,3
11/2/2022,1.1,3.1,-0.3,10.1,-0.4,5.6,7
11/3/2022,1.1,3.2,-7.1,-0.3,-7.6,-3.7,6
11/4/2022,1.1,3.4,-5.3,0.2,-9.2,-5.3,5
11/5/2022,3.1,5,1,1,-5.4,-1.7,16
11/6/2022,4.3,6.5,-3.6,2.4,-3.8,-0.4,18
11/7/2022,4.5,6.7,0.5,2.4,-7.3,-2.2,16
11/8/2022,4.9,6.9,-5.7,2,-5.7,-2,20
11/9/2022,5,7.2,-0.9,0.5,-6.5,-2.7,21
11/10/2022,5.8,7.7,-8.8,-0.9,-8.8,-3.6,27
11/11/2022,5.7,7.7,-10.7,-3.7,-12.5,-8.8,25
11/12/2022,5.7,7.7,-7.7,-2.2,-13.4,-8.4,24
11/13/2022,5.7,7.7,-5.3,1,-7.7,-4.4,23
11/14/2022,5.6,7.7,-7.4,1.7,-7.9,-4.3,22
11/15/2022,5.6,7.7,-7.6,1.3,-9.5,-5.8,22
11/16/2022,5.6,7.7,-5.6,3.6,-8.9,-4.9,22
11/17/2022,5.6,7.7,-6.2,2.6,-6.9,-3.9,22
11/18/2022,5.6,7.7,-5.7,0.8,-7,-4.5,22
11/19/2022,5.6,7.7,-9.4,-1.4,-10.9,-7.1,22
11/20/2022,5.6,7.7,-5.9,0,-10.3,-6.2,22
11/21/2022,5.6,7.7,-5.6,2.2,-6.9,-3.7,22
11/22/2022,5.6,7.7,-5.1,2.6,-5.6,-3,22
11/23/2022,5.6,7.9,-1.4,3.3,-5.3,-1.3,21
11/24/2022,5.7,7.9,-4.5,2.1,-4.8,-1.7,22
11/25/2022,5.7,7.9,-0.1,5.2,-6.1,-1.2,22
11/26/2022,5.7,7.9,0.5,7.9,-0.6,2.6,22
11/27/2022,5.9,7.9,-6.1,2.7,-6.1,-1.1,23
11/28/2022,6.3,8.4,-4.6,-0.4,-6.1,-3,27
11/29/2022,6.6,8.5,-9.3,-3,-11.1,-6.1,26
11/30/2022,6.6,8.5,-9.2,-5.5,-12.7,-9.3,27
12/1/2022,7.4,9.3,-1.8,-0.9,-9.2,-3.9,35
12/2/2022,8.6,10.1,-9.2,-0.4,-10.5,-3.6,44
12/3/2022,8.6,10.2,-11.9,-5.2,-12.8,-9,40
12/4/2022,8.7,10.4,-6.7,-0.6,-13.3,-8,39
