date,RC_01,RC_02,RC_03,RC_04,RC_05,RC_06,RC_07,RC_08,RC_09,RC_10,IB_05,IB_06,IB_08
10/2/2022,16.511902,14.570831,12.50119,10.821808,12.141052,10.947571,10.0737,10.4071045,8.426147,5.727234,10.947571,10.947571,8.426147
10/9/2022,20.721832,19.00595,16.583832,15.097412,16.159485,15.008057,14.300598,14.594574,13.593323,10.425446,15.008057,15.008057,13.593323
10/16/2022,19.784332,17.980713,17.103363,16.59262,14.952393,14.087524,13.315277,13.761566,12.813141,9.871948,14.087524,14.087524,12.813141
10/23/2022,17.245667,15.27652,15.755432,13.629883,12.132965,11.280487,10.573334,10.791992,9.784119,7.464203,11.280487,11.280487,9.784119
10/30/2022,7.6364746,5.624542,5.623596,3.9978333,2.9193115,2.127777,0.96435547,1.4981079,0.006164551,-2.2453308,2.127777,2.127777,0.006164551
11/6/2022,6.6580505,5.036377,4.690674,3.1195679,1.7988281,0.77563477,0.04864502,0.19146729,-0.87661743,-3.0214233,0.77563477,0.77563477,-0.87661743
11/13/2022,2.4787598,-0.26708984,0.5343323,-0.92367554,-2.3856812,-3.2095642,-4.0160217,-3.60437,-4.664093,-7.3728943,-3.2095642,-3.2095642,-4.664093
11/20/2022,2.5626526,0.99887085,1.355072,-1.3132324,-2.4901123,-2.9207458,-3.3997498,-2.9277954,-3.62323,-6.1593323,-2.9207458,-2.9207458,-3.62323
11/27/2022,5.315216,3.7636414,3.8364258,1.8832703,0.7531433,0.10272217,-0.5241699,-0.12188721,-0.87371826,-3.3032532,0.10272217,0.10272217,-0.87371826
12/4/2022,0.7738342,-1.7223206,-1.2098999,-2.5504456,-3.617981,-4.881531,-5.7554016,-5.4555054,-6.6023865,-9.266113,-4.881531,-4.881531,-6.6023865
12/11/2022,1.5535889,-1.3519897,-0.5054016,-1.3199158,-2.5552979,-3.4930115,-4.088806,-3.9051208,-5.0573425,-7.737549,-3.4930115,-3.4930115,-5.0573425
12/18/2022,-1.9754333,-4.297882,-3.3105469,-3.985077,-5.1621704,-5.443573,-6.070221,-5.608917,-6.3814697,-9.708862,-5.443573,-5.443573,-6.3814697
12/25/2022,0.50994873,-2.605011,-2.1030884,-2.9211426,-4.248169,-5.1318665,-5.6245117,-5.407318,-6.2387085,-8.313141,-5.1318665,-5.1318665,-6.2387085
1/1/2023,3.50708,1.0238647,1.8605957,0.90753174,-0.21408081,-1.1469727,-1.754242,-1.541565,-2.516632,-4.885254,-1.1469727,-1.1469727,-2.516632
1/8/2023,1.8179321,-0.79019165,-0.011566162,-0.95425415,-1.6546936,-2.8044434,-3.6565247,-3.3009338,-4.537018,-7.4765015,-2.8044434,-2.8044434,-4.537018
1/15/2023,5.0625305,2.4110107,3.0752258,2.072937,1.3381348,0.5739136,-0.051849365,0.14898682,-1.039032,-3.6565857,0.5739136,0.5739136,-1.039032
1/22/2023,0.12680054,-2.0419006,-0.9897156,-2.3166504,-3.9708862,-4.7748413,-5.5979614,-5.082245,-6.278473,-9.2057495,-4.7748413,-4.7748413,-6.278473
1/29/2023,0.4894104,-1.9110718,-1.0775757,-2.6404724,-4.576599,-5.3000793,-5.8742676,-5.4231873,-6.160797,-9.389099,-5.3000793,-5.3000793,-6.160797
2/5/2023,1.9335938,-1.1205444,-0.67840576,-2.4515991,-3.4910278,-4.208252,-4.8988037,-4.493744,-5.645111,-8.3628235,-4.208252,-4.208252,-5.645111
2/12/2023,3.9852295,1.6781616,1.7735901,0.4050293,-0.6308899,-1.2882996,-1.9307251,-1.5488586,-2.7731018,-5.5418396,-1.2882996,-1.2882996,-2.7731018
2/19/2023,1.7162476,-0.7690735,-0.4868164,-1.9777832,-3.5522156,-4.56369,-5.3115845,-4.962921,-6.2441406,-9.113464,-4.56369,-4.56369,-6.2441406
2/26/2023,0.50219727,-1.5126343,-1.3358765,-2.5163574,-3.9178162,-5.0862427,-5.8195496,-5.5596924,-6.6973877,-9.354919,-5.0862427,-5.0862427,-6.6973877
3/5/2023,1.401825,-1.4030151,-1.3282776,-2.5617676,-4.6376038,-5.6707764,-6.4400635,-6.2235413,-7.462982,-10.300049,-5.6707764,-5.6707764,-7.462982
3/12/2023,2.7209778,0.5121765,-0.079559326,-1.2690735,-3.130951,-4.2106934,-5.0816345,-4.869873,-6.1943054,-8.937164,-4.2106934,-4.2106934,-6.1943054
3/19/2023,5.700775,3.830841,2.5955505,1.3903503,-0.024719238,-0.9520569,-1.6425476,-1.4413147,-2.5265198,-5.065674,-0.9520569,-0.9520569,-2.5265198
3/26/2023,2.851532,1.0422363,0.64434814,-0.34109497,-1.9195862,-2.8220215,-3.6689758,-3.5188904,-4.7810364,-7.3868713,-2.8220215,-2.8220215,-4.7810364
4/2/2023,3.2835388,1.0840149,0.81695557,0.056610107,-1.3520508,-2.1081238,-2.7375488,-2.6280823,-3.8476562,-6.452362,-2.1081238,-2.1081238,-3.8476562
4/9/2023,4.981537,2.105194,1.8265076,0.59606934,-0.8071594,-1.8580322,-2.6623535,-2.4046326,-3.745819,-6.5013733,-1.8580322,-1.8580322,-3.745819
4/16/2023,8.834625,7.210327,5.80365,4.3165894,3.2164001,2.1861572,1.4322205,1.6405945,0.48034668,-1.9905396,2.1861572,2.1861572,0.48034668
