datetime,MC_Sampling,MC_Q_event,Mean_Discharge_ft3_sec
10/1/2022,,,23.3
10/2/2022,,,24.6
10/3/2022,,,24.6
10/4/2022,,,24.8
10/5/2022,10/5/2022,122.4,25.1
10/6/2022,,,24.8
10/7/2022,,,24.7
10/8/2022,,,25.1
10/9/2022,,,25.1
10/10/2022,,,25.7
10/11/2022,,,25.9
10/12/2022,,,26.3
10/13/2022,,,26.3
10/14/2022,,,26.5
10/15/2022,,,26.8
10/16/2022,,,27
10/17/2022,,,29.2
10/18/2022,,,28.3
10/19/2022,,,28.4
10/20/2022,,,28.5
10/21/2022,,,28.7
10/22/2022,,,57.8
10/23/2022,,,73.4
10/24/2022,,,53.9
10/25/2022,,,52.8
10/26/2022,,,54.4
10/27/2022,10/27/2022,772.1,52.5
10/28/2022,,,47.8
10/29/2022,,,46
10/30/2022,,,46.5
10/31/2022,,,46.5
11/1/2022,,,48.2
11/2/2022,,,55.9
11/3/2022,,,56.5
11/4/2022,,,55.2
11/5/2022,,,148
11/6/2022,,,148
11/7/2022,,,102
11/8/2022,,,88.2
11/9/2022,,,84.4
11/10/2022,,,72.3
11/11/2022,,,47.7
11/12/2022,,,58.2
11/13/2022,11/13/2022,1217.3,65.9
11/14/2022,,,56.3
11/15/2022,,,56
11/16/2022,,,58.3
11/17/2022,,,65.8
11/18/2022,,,72.6
11/19/2022,,,72.8
11/20/2022,,,68.6
11/21/2022,,,64.9
11/22/2022,,,67.3
11/23/2022,,,65.5
11/24/2022,,,58.9
11/25/2022,,,54.8
11/26/2022,,,55.4
11/27/2022,,,51.7
11/28/2022,,,50.1
11/29/2022,,,51.1
11/30/2022,,,57.1
12/1/2022,,,56.1
12/2/2022,,,53.3
12/3/2022,12/3/2022,1185.1,48.5
12/4/2022,,,43.6
12/5/2022,,,52.8
12/6/2022,,,53.1
12/7/2022,,,46.2
12/8/2022,,,39
12/9/2022,,,43.2
12/10/2022,,,51.2
12/11/2022,,,73.6
12/12/2022,,,75.9
12/13/2022,,,82
12/14/2022,,,83.9
12/15/2022,,,87.8
12/16/2022,,,74.2
12/17/2022,,,64.7
12/18/2022,,,67.8
12/19/2022,12/19/2022,1014.2,75.2
12/20/2022,,,141
12/21/2022,,,149
12/22/2022,,,113
12/23/2022,,,104
12/24/2022,,,121
12/25/2022,,,141
12/26/2022,,,155
12/27/2022,,,197
12/28/2022,,,287
12/29/2022,,,231
12/30/2022,,,188
12/31/2022,,,163
1/1/2023,,,142
1/2/2023,1/2/2023,2207,75
1/3/2023,,,113
1/4/2023,,,146
1/5/2023,,,163
1/6/2023,,,155
1/7/2023,,,152
1/8/2023,,,147
1/9/2023,,,148
1/10/2023,,,150
1/11/2023,,,145
1/12/2023,,,138
1/13/2023,,,129
1/14/2023,,,144
