Sample Name,Site_ID,Collection_Date,D_2H,D_2H_StDev,D_18O,D_18O_StDev,Type,Site_no,D_18O_Precip,elevation
5,RC_01,10/27/2022,-92.796701,1.39,-12.540525,0.232,RC,1,-12.540525,922
6,RC_02,10/27/2022,-95.549245,0.928,-13.497653,0.164,RC,2,-13.497653,1160
7,RC_03,10/27/2022,-104.588535,1.74,-14.756808,0.255,RC,3,-14.756808,1266
8,RC_04,10/27/2022,-104.535681,1.08,-14.562412,0.173,RC,4,-14.562412,1455
9,RC_05,10/27/2022,-119.535791,0.396,-15.940431,0.141,RC,5,-15.940431,1755
10,RC_06,10/27/2022,-109.875211,0.694,-15.032795,0.0537,RC,6,-15.032795,1780
11,RC_07,10/27/2022,-113.833688,0.591,-15.183925,0.106,RC,7,-15.183925,1860
12,RC_08,11/11/2022,-116.024836,0.735,-15.833164,0.193,RC,8,-15.833164,2036
13,RC_09,11/11/2022,-121.014641,0.506,-16.159773,0.195,RC,9,-16.159773,2145
14,RC_10,11/11/2022,-113.745371,1.47,-15.190483,0.386,RC,10,-15.190483,2316
17,RC_01,11/13/2022,-107.640622,0.768,-14.604905,0.256,RC,1,-14.604905,922
18,RC_02,11/13/2022,-108.068608,1.35,-14.960014,0.221,RC,2,-14.960014,1160
20,IB_01,12/3/2022,-103.494536,0.897,-15.209011,0.322,IB,1,-15.209011,922
21,IB_02,12/3/2022,-123.907949,0.672,-16.886222,0.136,IB,2,-16.886222,1160
23,RC_03,12/3/2022,-106.09513,1.16,-14.632009,0.109,RC,3,-14.632009,1266
24,RC_04,12/6/2022,-105.952604,0.882,-14.494473,0.144,RC,4,-14.494473,1455
25,RC_06,12/7/2022,-117.783937,0.727,-16.02141,0.114,RC,6,-16.02141,1780
26,IB_08,12/9/2022,-112.18449,1.67,-16.055533,0.113,IB,8,-16.055533,2036
27,IB_09,12/9/2022,-120.137304,1.71,-16.947098,0.105,IB,9,-16.947098,2145
28,IB_10,12/9/2022,-122.576958,0.575,-17.314814,0.0978,IB,10,-17.314814,2316
29,IB_07,12/14/2022,-163.695563,0.441,-22.037132,0.118,IB,7,-22.037132,1860
30,IB_08,12/14/2022,-167.233944,0.969,-22.600867,0.13,IB,8,-22.600867,2036
31,IB_09,12/14/2022,-161.213651,0.838,-21.647488,0.177,IB,9,-21.647488,2145
32,IB_10,12/14/2022,-158.409444,1.25,-21.445778,0.267,IB,10,-21.445778,2316
34,IB_03,12/18/2022,-158.374475,1.59,-21.277594,0.356,IB,3,-21.277594,1266
35,IB_04,12/18/2022,-160.690624,0.726,-21.555997,0.187,IB,4,-21.555997,1455
36,IB_05,12/18/2022,-181.815683,1.35,-24.340894,0.25,IB,5,-24.340894,1755
37,IB_06,12/18/2022,-174.772535,0.765,-23.380663,0.193,IB,6,-23.380663,1780
38,IB_07,12/18/2022,-186.964495,1.53,-24.911989,0.179,IB,7,-24.911989,1860
39,IB_01,12/19/2022,-150.521319,0.637,-20.302012,0.0815,IB,1,-20.302012,922
40,IB_02,12/19/2022,-150.473757,1.69,-20.152421,0.321,IB,2,-20.152421,1160
42,IB_01,1/2/2023,-133.271872,0.372,-17.30567,0.252,IB,1,-17.30567,922
43,IB_02,1/2/2023,-141.536777,0.654,-18.176109,0.166,IB,2,-18.176109,1160
44,IB_03,1/2/2023,-138.447769,1.02,-17.899088,0.245,IB,3,-17.899088,1266
45,IB_05,1/2/2023,-137.096044,1.75,-18.10861,0.259,IB,5,-18.10861,1755
46,IB_06,1/2/2023,-144.594665,0.62,-18.824681,0.2,IB,6,-18.824681,1780
47,IB_07,1/5/2023,-138.713469,1.28,-18.286544,0.149,IB,7,-18.286544,1860
48,IB_08,1/5/2023,-135.055253,0.797,-17.718105,0.162,IB,8,-17.718105,2036
49,IB_09,1/5/2023,-133.786552,1.59,-17.656088,0.0583,IB,9,-17.656088,2145
50,IB_05,1/11/2023,-134.649795,1.2,-18.052562,0.164,IB,5,-18.052562,1755
51,IB_06,1/11/2023,-133.594242,0.0353,-17.771356,0.0832,IB,6,-17.771356,1780
52,IB_07,1/11/2023,-133.889152,0.869,-17.960485,0.118,IB,7,-17.960485,1860
53,IB_08,1/11/2023,-134.872274,1.08,-17.91048,0.294,IB,8,-17.91048,2036
54,IB_09,1/11/2023,-130.104418,1.16,-17.398432,0.204,IB,9,-17.398432,2145
57,IB_05,1/18/2023,-162.311941,0.568,-21.392028,0.177,IB,5,-21.392028,1755
58,IB_06,1/18/2023,-152.259317,0.903,-20.29979,0.0766,IB,6,-20.29979,1780
59,IB_07,1/18/2023,-154.289497,0.85,-20.317365,0.337,IB,7,-20.317365,1860
60,IB_01,2/1/2023,-158.636525,1.56,-19.955761,0.161,IB,1,-19.955761,922
61,IB_02,2/1/2023,-142.745199,0.646,-18.491415,0.133,IB,2,-18.491415,1160
62,IB_03,2/1/2023,-156.692521,0.85,-20.533737,0.137,IB,3,-20.533737,1266
63,IB_04,2/1/2023,-139.464947,1.12,-17.870976,0.18,IB,4,-17.870976,1455
64,IB_05,2/1/2023,-139.260404,0.902,-18.291186,0.105,IB,5,-18.291186,1755
