Site_ID,Collection_Date,D_2H_Precip,D_18O_Precip
Lower Deer Point,11/13/2009,-150.39,-19.06
Lower Deer Point,1/13/2010,-84.22,-11.37
Lower Deer Point,1/20/2010,-131.73,-15.63
Lower Deer Point,1/20/2010,-136.24,-17.27
Lower Deer Point,3/29/2010,-118.34,-15.84
Lower Deer Point,4/2/2010,-108.7,-14.57
Lower Deer Point,4/15/2010,-125.44,-16.64
Lower Deer Point,4/20/2010,-114.25,-15.17
Lower Deer Point,4/21/2010,-110.42,-15.23
Lower Deer Point,4/24/2010,-99.68,-12.43
Lower Deer Point,5/7/2010,-101.36,-13.34
Lower Deer Point,5/12/2010,-106.79,-14.07
Lower Deer Point,5/19/2010,-103.61,-14.79
Lower Deer Point,5/25/2010,-104.54,-14.23
Lower Deer Point,5/28/2010,-100.8,-14.14
Lower Deer Point,6/5/2010,-113.98,-15.2
Lower Deer Point,6/7/2010,-110.87,-14.41
Lower Deer Point,6/11/2010,-61.63,-8.36
Lower Deer Point,6/21/2010,-71.25,-9.8
Lower Deer Point,10/25/2010,-134.04,-18.47
Lower Deer Point,10/27/2010,-79.52,-12.34
Lower Deer Point,11/1/2010,-94.02,-13.84
Lower Deer Point,11/8/2010,-126.88,-18.55
Lower Deer Point,11/11/2010,-104.91,-15.2
Lower Deer Point,11/15/2010,-98.53,-13.64
Lower Deer Point,12/7/2010,-130.12,-16.84
Lower Deer Point,1/17/2011,-148.73,-19.91
Lower Deer Point,5/7/2011,-130.28,-17.78
Lower Deer Point,5/16/2011,-129.08,-17.58
Lower Deer Point,5/19/2011,-112.96,-15.15
Lower Deer Point,5/26/2011,-83.75,-12.47
Lower Deer Point,5/27/2011,-115.98,-16.06
Lower Deer Point,6/7/2011,-100.52,-13.74
Lower Deer Point,6/9/2011,-103.45,-14.71
Lower Deer Point,6/29/2011,-84,-9.91
Lower Deer Point,6/30/2011,-99.43,-12.31
Lower Deer Point,9/11/2011,-70.64,-10.18
Lower Deer Point,9/15/2011,-39.23,-3.19
Lower Deer Point,9/16/2011,-52.59,-7.71
Lower Deer Point,10/5/2011,-93.89,-13.54
Lower Deer Point,10/7/2011,-167.9,-22.76
Lower Deer Point,10/17/2011,-119.8,-16.48
Lower Deer Point,11/5/2011,-112.21,-16.53
Lower Deer Point,11/13/2011,-85.62,-13.04
