Date ,Avg Temp_TC,Avg_Temp_Snotel,Avg_Temp_Boise,Avg_Temp_Bogus
10/1/2022,11,7.3,14.2,7.5
10/2/2022,11.5,9.2,18.1,8.1
10/3/2022,12.7,8.9,17.8,9
10/4/2022,13.7,10.8,19.4,9.4
10/5/2022,14.3,11.8,19.7,10.6
10/6/2022,14.8,12.6,19.2,11.7
10/7/2022,14.6,13.3,19.2,12
10/8/2022,13.4,13.3,19.4,11.9
10/9/2022,12.6,12.3,17.5,11
10/10/2022,11.6,11.3,17.2,10.4
10/11/2022,12.1,10.6,15.8,9.7
10/12/2022,13.7,10.7,16.1,10.1
10/13/2022,13.6,11.3,17.2,12.2
10/14/2022,12.2,12,15.8,12
10/15/2022,11.9,12.1,17.2,13.5
10/16/2022,11.2,11.5,15.6,10.7
10/17/2022,11.8,10.6,15.6,10.4
10/18/2022,12.2,11.7,16.4,12.2
10/19/2022,11.8,12.2,15.8,11.7
10/20/2022,10.8,12,16.1,10.5
10/21/2022,9.3,10.9,15,9.7
10/22/2022,3.2,8.6,7.8,7.7
10/23/2022,0.1,0.9,5.8,0.6
10/24/2022,-1.2,-1.8,3.9,-2
10/25/2022,1.1,-1.6,6.9,-1.2
10/26/2022,-0.2,-0.1,5.3,-0.2
10/27/2022,-1.3,-1.7,5,-1.9
10/28/2022,1,-2.9,6.7,-1.9
10/29/2022,2.8,1,6.7,2.3
10/30/2022,3.8,2.9,8.3,3
10/31/2022,6.8,3.5,11.9,3.5
11/1/2022,6.1,6.1,11.4,7.4
11/2/2022,-1.2,5.6,4.4,5.5
11/3/2022,-3.1,-3.7,1.9,-5.3
11/5/2022,1.4,-5.3,6.4,-0.4
11/6/2022,-1,-1.7,6.1,-0.5
11/7/2022,-0.4,-0.4,5.6,-1.2
11/8/2022,-0.7,-2.2,5.3,-1.8
11/9/2022,-2.7,-2,-0.6,-1.5
11/10/2022,-6.7,-2.7,-2.2,-4.8
11/11/2022,-7.3,-3.6,-1.7,-8.2
11/12/2022,-3.9,-8.8,0.6,-6.4
11/13/2022,-3.4,-8.4,0.3,-2.7
11/14/2022,-5.4,-4.4,-0.6,-3
11/15/2022,-4.9,-4.3,-1.1,-5.7
11/18/2022,-4.8,-5.8,-1.9,-4.8
11/19/2022,-6.9,-4.9,-2.2,-6.9
11/20/2022,-5.8,-3.9,-3.1,-5
11/21/2022,-4.8,-4.5,-2.2,-2.6
11/22/2022,-2.6,-7.1,-0.8,-2.8
11/23/2022,0.1,-6.2,2.8,-0.4
11/24/2022,-1.7,-3.7,1.9,-1.8
11/25/2022,-0.4,-3,1.7,1.1
11/26/2022,-0.2,-1.3,2.2,3.7
11/27/2022,-2.8,-1.7,1.9,-1.8
11/28/2022,-3.9,-1.2,-0.8,-3
11/29/2022,-8.3,2.6,-3.6,-6.2
11/30/2022,-4.6,-1.1,3.1,-9.3
12/1/2022,-2.7,-3,1.9,-2.7
12/2/2022,-7.8,-6.1,-1.4,-3.5
12/3/2022,-9.9,-9.3,-1.9,-8.4
12/4/2022,-4.6,-3.9,-1.4,-3.3
12/5/2022,-0.6,-3.6,-3.1,-0.6
12/6/2022,-1.8,-9,-0.6,-3.7
12/7/2022,-5,-8,-2.2,-3.5
12/8/2022,-6.3,-1.6,-0.8,-5.8
12/9/2022,-3.8,-2.3,1.4,-5.3
12/10/2022,-2.1,-3,4.7,-5.3
12/11/2022,0.1,-6.5,3.3,-1.4
12/12/2022,-1.2,-5.2,-0.6,-0.9
12/13/2022,-2.5,-5.6,-2.5,-2.5
12/14/2022,-4,-1.7,-1.9,-3.7
12/15/2022,-6.8,-0.5,-5,-4.9
12/16/2022,-10.3,-2.5,-5,-7.4
12/17/2022,-10.4,-3.5,-5.6,-9.9
12/18/2022,-10.8,-5.3,-8.9,-8.8
12/19/2022,-9.7,-9,-10,-7.6
12/20/2022,-3.3,-11.5,-2.2,-6.3
12/21/2022,-4.1,-12.2,-2.5,-2.6
12/22/2022,-13.6,-8.8,-10.8,-6.9
12/23/2022,-8.8,-7.2,-8.1,-12.2
12/24/2022,-1.4,-3.6,-4.4,-2.4
12/25/2022,1.7,-6.7,-1.9,1.5
12/26/2022,1.6,-14.8,3.9,3.1
12/27/2022,2.9,-5.4,8.9,5.4
12/28/2022,-2.1,0.5,2.8,2.1
12/29/2022,-5.6,2.1,1.4,-4.2
12/30/2022,-1,4.5,3.1,-5.4
12/31/2022,0,1.7,1.1,-1.1
1/1/2023,-3.2,-3.7,0.6,-2.7
1/2/2023,-8.2,-5.5,-2.8,-4.2
1/3/2023,-7.7,-1.4,-2.5,-7.2
1/5/2023,-1.4,-2.4,5.8,-2.3
1/6/2023,0.2,-5.4,4.4,0.3
1/7/2023,-2.2,-8,3.3,-1.2
1/8/2023,-2.3,-7,5.3,-0.7
1/9/2023,-2.9,-2.8,5.6,-0.5
1/10/2023,-1.3,0.5,1.7,-0.6
1/11/2023,0.5,-0.9,4.2,-1.1
1/12/2023,0.3,-3.4,6.9,-1.4
1/13/2023,-0.3,-1.3,8.1,1.3
1/15/2023,0.4,-1.6,6.4,0.5
1/16/2023,-2.2,-1.8,3.3,-1.6
1/17/2023,-3.6,-1.3,1.4,-3.3
1/18/2023,-4.9,0.5,1.1,-3.6
1/19/2023,-2.8,3.3,-1.4,-4.8
1/20/2023,-5.8,1.1,-5.3,-4.5
1/21/2023,-6.9,-0.9,-4.7,-5.2
1/22/2023,-5.7,-4.3,-2.5,-5.2
1/23/2023,-6.4,-5.3,-4.4,-6.5
1/24/2023,-5.6,-5.6,-3.3,-6.3
1/25/2023,-2.1,-3.9,0,-4.5
1/26/2023,-0.3,-6.7,3.3,-2.3
1/27/2023,-0.2,-6.7,3.9,-0.9
1/28/2023,-3.1,-6.1,0.8,-2
1/29/2023,-10.1,-7.4,-5.8,-5.2
1/30/2023,-15.8,-4.8,-8.9,-12.5
1/31/2023,-12.3,-2.1,-7.5,-15.3
2/1/2023,-7.2,-1,-4.2,-9.4
2/2/2023,-5.1,-1.6,-2.2,-3.8
2/3/2023,-2.3,-5.1,0.8,0
2/4/2023,0.2,-13.4,2.5,1.3
2/5/2023,-0.1,-16.6,6.7,-0.2
2/6/2023,0.2,-10.5,3.9,-0.9
2/7/2023,-0.9,-5.4,4.2,-3.1
2/8/2023,-1.9,-1.7,2.5,-1.5
2/9/2023,-5.1,1.2,1.9,-4.6
2/10/2023,-2.8,-0.2,4.2,-4.3
2/11/2023,-1.6,-0.8,1.7,0.7
2/12/2023,-2.2,-1.9,2.5,0.2
2/13/2023,-3.4,-2.4,3.1,-1.2
2/14/2023,-4.3,-4.3,-1.1,-2.6
2/15/2023,-4.4,-6.2,1.1,-7.2
2/16/2023,-5.6,-0.7,0.8,-6.3
2/17/2023,-5.2,-1,0.3,-5.5
2/18/2023,-5.1,-1.4,-0.6,-4.9
2/19/2023,-2.2,-2.8,1.9,-4.6
2/20/2023,2.6,-6.2,7.2,-2.5
2/21/2023,-0.4,-6,3.9,0.8
2/22/2023,-6.4,-6.1,0.3,-3.2
2/23/2023,-7.1,-5.4,-0.8,-7.8
2/24/2023,-6.4,-5.4,0.3,-9.3
2/25/2023,-2.5,-3.6,3.3,-6.2
2/26/2023,-3.2,0.5,1.7,-1.4
2/27/2023,-3.9,-3,1.1,-2.7
2/28/2023,-3.4,-8,1.7,-6.1
3/1/2023,-3.4,-9.1,1.7,-6
3/2/2023,-5.7,-7.7,-0.6,-6
3/3/2023,-3.8,-2.8,1.9,-5.9
3/4/2023,-5,-2.1,1.9,-6.7
3/5/2023,-3.2,-5.3,1.4,-4.9
3/6/2023,-5,-5.8,1.1,-6.3
3/7/2023,-5.7,-6,1.7,-6.7
3/8/2023,-4.6,-6.3,1.4,-6.1
3/9/2023,-3.4,-6.6,1.9,-5.5
3/10/2023,-0.7,-6.1,6.1,-5.5
3/11/2023,-1.7,-5.2,5.6,-2.1
3/12/2023,-0.1,-6.2,5,-2.9
3/13/2023,2.1,-7.7,9.2,-0.7
3/14/2023,1.6,-5.5,8.6,2
3/15/2023,-0.1,-5.2,4.4,1.2
3/16/2023,-1.1,-2.4,3.1,-4
3/17/2023,-1.1,-4.4,4.2,-3.4
3/18/2023,-0.7,-1,5.3,-3.1
3/19/2023,1.7,1.4,6.7,-0.7
3/20/2023,0.8,1.5,4.7,0.9
3/21/2023,2.2,-2.5,5.6,-1.7
3/22/2023,1.4,-4,6.1,-0.5
3/23/2023,0.8,-3,5.8,-0.9
3/24/2023,-3.1,-1.9,2.2,-1.5
3/25/2023,-4.2,0.4,1.4,-6.5
3/26/2023,-4.6,-1.1,1.1,-7.5
3/27/2023,-1.7,-0.6,1.9,-6.5
3/28/2023,-0.6,-0.4,7.2,-4.2
3/29/2023,0.7,-0.8,4.7,-2
3/30/2023,1.2,-5.5,3.6,-1.5
3/31/2023,1.7,-7,6.7,-2.1
4/1/2023,0.1,-6.7,6.1,-1.2
4/2/2023,-0.3,-5,3.3,-2.5
4/3/2023,-1.8,-2,3.6,-3
4/4/2023,-1.5,-0.5,2.8,-5.3
4/5/2023,-1.7,-1,7.2,-5.4
4/6/2023,0.6,-1.1,8.3,-4.8
4/7/2023,1.1,-1.9,10,-0.6
4/8/2023,4.2,-3,14.2,1.4
4/9/2023,7.8,-4.2,18.9,3.2
4/10/2023,11.2,-4.1,12.2,7.2
4/11/2023,6.7,-4.2,5.6,11.1
4/12/2023,0.7,-1.1,5.3,4.9
4/13/2023,-0.1,1.1,6.4,-1.5
4/14/2023,0.7,3.4,10.8,-3.6
4/15/2023,3.9,6.3,14.4,-1.5
4/16/2023,7.9,10.5,10.6,3
4/17/2023,3.9,6.5,3.6,7.1
4/18/2023,-1.5,0.6,3.9,2.1
4/19/2023,-1.6,-2.1,4.4,-4.7
4/20/2023,1.4,-1.6,7.8,-3.6
4/21/2023,2.4,1.9,9.7,-1.3
4/22/2023,4.3,7,10.6,-0.4
4/23/2023,4.2,2.6,9.7,1.7
4/24/2023,3.9,-3.4,10.6,3.5
4/25/2023,7.2,-4.7,13.3,1.7
4/26/2023,8.7,-1,15.8,4.4
4/27/2023,10,0.1,16.7,7.8
4/28/2023,11.1,2.1,19.2,8.5
4/29/2023,13.9,3.1,21.7,9.2
4/30/2023,16.3,3,,11.9
5/1/2023,17.4,5.1,20.6,13.8
5/2/2023,16.6,7.1,19.4,16.4
5/3/2023,15,8.4,20.3,13.4
5/4/2023,9.9,8.4,17.2,12.4
5/5/2023,6.3,10.3,12.2,8
5/6/2023,7.5,11.8,11.9,3.1
5/7/2023,3.2,12.7,11.1,3.3
5/8/2023,5.1,11.7,13.1,1.9
5/9/2023,5.4,11,11.1,3.8
5/10/2023,8.3,7.2,12.8,2.6
5/11/2023,10.3,4.3,14.4,6.4
5/12/2023,14,4.1,16.7,8.5
5/13/2023,15.6,2.2,19.2,10.5
5/14/2023,14.3,3.8,17.8,11
5/15/2023,15,3.3,19.7,10
5/16/2023,15.4,6.1,20.8,10.9
5/17/2023,14.1,8,20.6,11.4
5/18/2023,16,10.2,21.4,11
5/19/2023,17.7,11.1,24.2,11.7
5/20/2023,19,9.5,24.4,14
5/21/2023,17.6,10,24.7,14.8
5/22/2023,14.1,10.4,18.3,14.4
5/23/2023,12.7,9.6,17.5,9.2
5/24/2023,13.5,11.3,18.9,9.3
5/25/2023,12.2,12.4,19.2,9.6
5/26/2023,12.4,13.8,20,9.2
5/27/2023,12.2,14.4,18.1,9.7
5/28/2023,13,10.6,19.4,8.2
5/29/2023,15.7,10,21.4,9.5
5/30/2023,13.2,10,21.7,12.3
5/31/2023,13.7,10.4,19.4,11.4
6/1/2023,15.1,9.2,18.9,9.8
6/2/2023,12.9,8.9,19.4,11.2
6/3/2023,16.1,9.8,21.1,10.8
6/4/2023,14.9,12.5,23.6,12.6
6/5/2023,16.6,10.8,23.6,12.5
6/6/2023,18.1,11.1,24.2,12.9
6/7/2023,15.7,11.6,23.6,14.1
6/8/2023,14.4,10.9,21.1,13.9
6/9/2023,13.1,11.5,18.6,11.8
6/10/2023,15.1,12,21.4,10.1
6/11/2023,14.7,12.5,22.5,11.3
6/12/2023,14.4,14.8,22.2,12.2
6/13/2023,16.2,13.9,23.3,11.7
6/14/2023,13.8,12.5,19.2,12.3
6/15/2023,13.5,9.9,17.5,8.7
6/16/2023,14.9,11.8,18.3,9.4
6/17/2023,14.1,12.8,21.7,10.3
6/18/2023,11.6,11.7,17.5,12
6/19/2023,6.4,12.7,12.8,7.1
6/20/2023,6.6,10.5,11.9,2.8
6/21/2023,9.6,10.4,14.4,2.9
6/22/2023,13.3,11.6,18.6,6.3
6/23/2023,15.3,11.7,20.3,10.1
6/24/2023,16.6,8.2,22.2,12
6/25/2023,18.1,5.2,22.5,13.1
6/26/2023,16,4.5,21.1,14
6/27/2023,13.3,6.4,20,11.8
6/28/2023,14.2,11,20.8,10.3
6/29/2023,18.4,12.1,23.1,10.7
6/30/2023,21.3,12.8,26.9,13.4
7/1/2023,21.7,13.5,28.9,17.3
7/2/2023,21,12.6,26.7,18.3
7/3/2023,20.3,10.8,25,16.8
7/4/2023,19.4,11.6,22.2,16.8
7/5/2023,18.2,14.9,24.4,14.3
7/6/2023,19.6,17.3,26.1,14.1
7/7/2023,20.8,18.3,27.8,16.3
7/8/2023,21.2,17.6,27.8,17.4
7/9/2023,23.2,17.1,29.2,16.8
7/10/2023,22.9,15.3,27.2,19.4
7/11/2023,20.5,14.9,25.6,17
7/12/2023,20.8,16.6,26.7,15.4
7/13/2023,21,17.3,26.1,16.9
7/14/2023,21,17.9,25.6,16.5
7/15/2023,22.4,19.5,28.3,17.6
7/16/2023,24.6,18.8,30.8,19.1
7/17/2023,21.8,16.4,29.7,20.9
7/18/2023,21.2,17.5,25,18.2
7/19/2023,21.8,17.1,26.9,16.9
7/20/2023,23.9,16.9,30.6,19.2
7/21/2023,24,18.6,30.8,20.3
7/22/2023,24.9,21.1,30.3,20.4
7/23/2023,24.9,18.8,29.7,21
7/24/2023,22.2,17.7,30.8,21.2
7/25/2023,21.2,18.7,26.1,19.7
7/26/2023,21.2,20.1,25.8,15.7
7/27/2023,21.4,20.4,26.1,16.9
7/28/2023,22.2,21.7,27.2,16.8
7/29/2023,20.4,21.7,28.6,17.6
7/30/2023,21.7,18.7,28.6,18
7/31/2023,20.6,18,26.1,18
8/1/2023,22.7,17.9,26.4,18
8/2/2023,20.4,18.1,28.3,19
8/3/2023,18.2,18.4,27.2,18.3
8/4/2023,17.3,18.7,22.5,15.7
8/5/2023,18.5,19,23.6,14.3
8/6/2023,15.9,18.1,23.1,14.2
8/7/2023,14.1,19.6,21.1,12.9
8/8/2023,15.8,17.1,20.8,10.3
8/9/2023,18.7,15.8,26.1,11.3
8/10/2023,18.9,13.4,24.2,15.4
8/11/2023,19.7,14.8,26.1,14.9
8/12/2023,20.8,13.4,24.7,17.5
8/13/2023,22.7,11.9,24.4,17.1
8/14/2023,23,11.7,28.9,18.1
8/15/2023,24.8,15.4,30.8,19
8/16/2023,25.5,15.7,31.1,20.2
8/17/2023,24.9,16.4,30,22.9
8/18/2023,23.2,17.5,28.9,21.2
8/19/2023,19.9,18.5,24.4,17.2
8/20/2023,15.8,19.6,22.8,17.1
8/21/2023,16.3,21,24.7,13.7
8/22/2023,17.2,21.9,23.9,13.6
8/23/2023,15.9,22,22.8,13.1
